city,lat,lng,country,population,population_proper
Tagkawayan,13.9667,122.5333,Philippines,51832,51832
Coron,12,120.2,Philippines,51803,51803
San Isidro,15.2667,120.9,Philippines,51612,51612
Trento,8.0459,126.0614,Philippines,51565,51565
Lucban,14.1133,121.5569,Philippines,51475,51475
Carigara,11.3,124.6833,Philippines,51345,51345
Cogan,10.5833,123.9667,Philippines,51325,51325
Tapas,11.2667,122.5333,Philippines,51313,51313
Dumanjog,10.05,123.4833,Philippines,51210,51210
Mercedes,14.1093,123.0109,Philippines,50841,50841
Aurora,7.9484,123.5819,Philippines,50755,50755
Iba,15.3333,119.9833,Philippines,50506,50506
Buenavista,10.7,122.6333,Philippines,50437,50437
Cataingan,12,123.9833,Philippines,50327,50327
Bani,16.1869,119.8592,Philippines,50306,50306
Pila,14.2333,121.3667,Philippines,50289,50289
Kitaotao,7.6397,125.0089,Philippines,50260,50260
El Salvador,8.5667,124.5167,Philippines,50204,50204
Cabagan,17.4333,121.7667,Philippines,50174,50174
Urbiztondo,15.8227,120.3295,Philippines,50170,50170
Buluan,6.7154,124.7854,Philippines,50008,50008
Leon,10.7808,122.3894,Philippines,49875,49875
Barobo,8.55,126.2,Philippines,49730,49730
Donsol,12.9167,123.6,Philippines,49711,49711
Titay,7.8682,122.5613,Philippines,49673,49673
Ibajay,11.8167,122.1667,Philippines,49564,49564
Zaragoza,15.4531,120.7911,Philippines,49387,49387
Magpet,7.1167,125.1167,Philippines,49201,49201
Kalamansig,6.5667,124.05,Philippines,49059,49059
Pasacao,13.5167,123.05,Philippines,49035,49035
Cardona,14.4861,121.2289,Philippines,49034,49034
Claveria,8.61,124.8947,Philippines,48906,48906
Kiblawan,6.6167,125.2167,Philippines,48897,48897
Libungan,7.25,124.5167,Philippines,48768,48768
Hamtic,10.7,121.9833,Philippines,48592,48592
Peñablanca,17.6333,121.7833,Philippines,48584,48584
Estancia,11.45,123.15,Philippines,48546,48546
San Narciso,13.5677,122.5667,Philippines,48461,48461
Padre Garcia,13.8833,121.2167,Philippines,48302,48302
Sibonga,10.0333,123.5667,Philippines,48186,48186
Bangued,17.5965,120.6179,Philippines,48163,48163
Poblacion,10.4667,123.9667,Philippines,47898,47898
General Tinio,15.35,121.05,Philippines,47865,47865
Amulung,17.8387,121.7235,Philippines,47860,47860
Alaminos,14.0635,121.2451,Philippines,47859,47859
Impasugong,8.3,125,Philippines,47859,47859
Asturias,10.5679,123.7172,Philippines,47857,47857
Bantacan,7.5333,126.1333,Philippines,47726,47726
Masinloc,15.5333,119.95,Philippines,47719,47719
Minalin,14.9667,120.6833,Philippines,47713,47713
Tuba,16.3167,120.55,Philippines,47648,47648
Caramoan,13.7707,123.8631,Philippines,47605,47605
President Roxas,7.1544,125.0558,Philippines,47575,47575
Santa Ignacia,15.6167,120.4333,Philippines,47538,47538
Sison,16.1667,120.5167,Philippines,47518,47518
Dumingag,8.1667,123.35,Philippines,47485,47485
Aringay,16.3982,120.3555,Philippines,47458,47458
Dulag,10.9525,125.0317,Philippines,47300,47300
Tubod,8.05,123.8,Philippines,47165,47165
Isabel,10.9333,124.4333,Philippines,46915,46915
Siocon,7.7,122.1333,Philippines,46907,46907
Pio Duran,13.0333,123.45,Philippines,46693,46693
Rosario,8.3814,126.0015,Philippines,46683,46683
San Pascual,13.1333,122.9833,Philippines,46674,46674
Norala,6.55,124.6667,Philippines,46642,46642
Mahayag,8.1333,123.3833,Philippines,46516,46516
Pontevedra,11.4833,122.8333,Philippines,46428,46428
Albuera,10.9186,124.6923,Philippines,46332,46332
Carmen,9.8167,124.2,Philippines,46306,46306
Ayungon,9.8584,123.1468,Philippines,46303,46303
Mabini,13.7167,120.9,Philippines,46211,46211
Dumarao,11.2667,122.6833,Philippines,46157,46157
Panay,11.55,122.8,Philippines,46114,46114
Ocampo,13.5594,123.3761,Philippines,45934,45934
Tibigan,9.95,123.9667,Philippines,45893,45893
Inabanga,10.0333,124.0667,Philippines,45880,45880
Wao,7.6404,124.7257,Philippines,45862,45862
Noveleta,14.4333,120.8833,Philippines,45846,45846
Barotac Viejo,11.05,122.85,Philippines,45808,45808
Jones,16.5583,121.7,Philippines,45666,45666
Dauis,9.6167,123.85,Philippines,45663,45663
Katipunan,8.5134,123.2847,Philippines,45577,45577
Odiongan,12.4,122,Philippines,45367,45367
Dingle,11.05,122.6667,Philippines,45335,45335
Talisay,14.1,121.0167,Philippines,45301,45301
Malinao,13.4,123.7,Philippines,45301,45301
Pilar,11.4833,123,Philippines,45287,45287
Guinayangan,13.9,122.45,Philippines,45155,45155
Bunawan,8.1781,125.9935,Philippines,45151,45151
Gloria,12.9167,121.4667,Philippines,45073,45073
New Washington,11.65,122.4333,Philippines,45007,45007
Sogod,10.3833,124.9833,Philippines,44986,44986
Maitum,6.0333,124.4833,Philippines,44595,44595
Talagutong,6.2667,125.6667,Philippines,44554,44554
Lal-lo,18.2,121.6667,Philippines,44506,44506
Kabasalan,7.7968,122.7627,Philippines,44336,44336
Balimbing,5.0728,119.8847,Philippines,44184,44184
Narvacan,17.4175,120.4753,Philippines,44006,44006
Libona,8.3333,124.7333,Philippines,43969,43969
Malabang,7.5903,124.0703,Philippines,43957,43957
Lupao,15.8793,120.8983,Philippines,43788,43788
Tuy,14.0167,120.7333,Philippines,43743,43743
Montevista,7.7,125.9833,Philippines,43706,43706
Veruela,8.0698,125.9554,Philippines,43706,43706
Claveria,12.9035,123.2457,Philippines,43693,43693
Banisilan,7.5,124.7,Philippines,43677,43677
Roseller Lim,7.6568,122.4701,Philippines,43646,43646
Buguias,16.7167,120.8333,Philippines,43627,43627
Vinzons,14.1833,122.9,Philippines,43485,43485
Alcala,15.8468,120.5218,Philippines,43402,43402
Tantangan,6.6167,124.75,Philippines,43245,43245
Jaro,11.1833,124.7833,Philippines,43199,43199
Concepcion,11.2,123.1,Philippines,43159,43159
Tayug,16.0267,120.7478,Philippines,43149,43149
Angadanan,16.7571,121.7479,Philippines,43061,43061
Mamburao,13.2233,120.596,Philippines,42975,42975
Cordon,16.6667,121.45,Philippines,42926,42926
Daram,11.6341,124.7947,Philippines,42879,42879
Dolores,12.05,125.4833,Philippines,42866,42866
Manay,7.2167,126.5333,Philippines,42690,42690
Loreto,8.1856,125.8538,Philippines,42501,42501
Manjuyod,9.6833,123.15,Philippines,42332,42332
Pagsanjan,14.2667,121.45,Philippines,42164,42164
Toboso,10.7167,123.5167,Philippines,42114,42114
Bacnotan,16.7333,120.3833,Philippines,42078,42078
Lower Tungawan,7.6017,122.4273,Philippines,42030,42030
Nasipit,8.9884,125.3408,Philippines,41957,41957
Villaba,11.2167,124.4,Philippines,41891,41891
Pilar,14.6667,120.5667,Philippines,41823,41823
Labangan,7.8667,123.5167,Philippines,41790,41790
Sumisip,6.4167,121.9833,Philippines,41730,41730
General Mamerto Natividad,15.6025,121.0515,Philippines,41656,41656
El Nido,11.1956,119.4075,Philippines,41606,41606
Kalilangan,7.75,124.75,Philippines,41601,41601
Santa Rita,11.4667,124.95,Philippines,41591,41591
Siay,7.7056,122.8641,Philippines,41572,41572
Lobo,13.65,121.25,Philippines,41504,41504
Aguilar,15.8899,120.2379,Philippines,41463,41463
President Quirino,6.7,124.7333,Philippines,41408,41408
Moises Padilla,10.2667,123.0833,Philippines,41386,41386
Labason,8.0667,122.5167,Philippines,41357,41357
Mandaon,12.2259,123.2842,Philippines,41262,41262
Culasi,11.4272,122.056,Philippines,41228,41228
Carranglan,15.9667,121.0667,Philippines,41131,41131
Banaybanay,6.9699,126.0126,Philippines,41117,41117
Guambog,7.3,125.85,Philippines,41102,41102
Matnog,12.5833,124.0833,Philippines,41101,41101
Palayan City,15.5333,121.0833,Philippines,41041,41041
Basud,14.0667,122.9667,Philippines,41017,41017
Pananaw,5.9833,121.25,Philippines,40998,40998
Proper Bansud,12.8333,121.3667,Philippines,40992,40992
Santa Rita,14.9953,120.6153,Philippines,40979,40979
Santo Niño,6.4333,124.6833,Philippines,40947,40947
San Jacinto,16.0725,120.4411,Philippines,40848,40848
Santa Elena,14.2,122.3833,Philippines,40786,40786
Maria Aurora,15.7967,121.4737,Philippines,40734,40734
Cateel,7.7833,126.45,Philippines,40704,40704
Maluso,6.55,121.8833,Philippines,40646,40646
Leyte,11.3667,124.4833,Philippines,40639,40639
San Jose,13.7,123.5167,Philippines,40623,40623
Quezon,15.55,120.8167,Philippines,40592,40592
Santo Tomas,14.9667,120.7167,Philippines,40475,40475
Caraga,7.3333,126.5667,Philippines,40379,40379
Panitan,11.4667,122.7667,Philippines,40289,40289
South Upi,6.8548,124.1443,Philippines,40178,40178
Balabac,7.9833,117.05,Philippines,40142,40142
Abucay,14.7222,120.5354,Philippines,39880,39880
Santa Cruz,17.0833,120.45,Philippines,39868,39868
Hinatuan,8.3667,126.3333,Philippines,39842,39842
Tucuran,7.85,123.5833,Philippines,39820,39820
Payabon,9.7667,123.1333,Philippines,39819,39819
Liloy,8.1167,122.6667,Philippines,39812,39812
Nueva Valencia,10.5259,122.5398,Philippines,39810,39810
Llanera,15.6667,121.0167,Philippines,39701,39701
Pagalungan,7.0592,124.6987,Philippines,39653,39653
Mambusao,11.4333,122.6,Philippines,39644,39644
Kibawe,7.5667,124.9833,Philippines,39612,39612
Baler,15.7583,121.5625,Philippines,39562,39562
Tampakan,6.45,124.9333,Philippines,39525,39525
Bañga,11.6333,122.3333,Philippines,39505,39505
Anda,16.2896,119.9491,Philippines,39504,39504
Bacolor,14.9984,120.6526,Philippines,39460,39460
Laurel,14.05,120.9,Philippines,39444,39444
Cabatuan,16.9589,121.6692,Philippines,39413,39413
Villanueva,8.5833,124.7833,Philippines,39378,39378
Polanco,8.5333,123.3667,Philippines,39347,39347
San Miguel,8.8833,126,Philippines,39340,39340
President Manuel Acuña Roxas,8.5196,123.2277,Philippines,39323,39323
Victoria,14.225,121.325,Philippines,39321,39321
Tagudin,16.9333,120.45,Philippines,39277,39277
Balaoan,16.8167,120.4,Philippines,39188,39188
Lasam,18.0667,121.6,Philippines,39135,39135
Bulalacao,12.3333,121.35,Philippines,39107,39107
Socorro,13.0583,121.4117,Philippines,39099,39099
Santo Tomas,16.2833,120.3833,Philippines,39092,39092
Tabogon,10.9333,124.0333,Philippines,39013,39013
Plaridel,8.6214,123.7101,Philippines,38900,38900
Gonzaga,18.2667,122,Philippines,38892,38892
Alcala,17.9031,121.659,Philippines,38883,38883
Tagbina,8.45,126.1667,Philippines,38833,38833
Mobo,12.3333,123.65,Philippines,38813,38813
San Dionisio,11.2711,123.0948,Philippines,38775,38775
Romblon,12.5789,122.2747,Philippines,38758,38758
Mambajao,9.25,124.7167,Philippines,38735,38735
Malalag,6.6,125.4,Philippines,38731,38731
Mondragon,12.5167,124.75,Philippines,38726,38726
La Libertad,10.0333,123.2167,Philippines,38602,38602
Dingras,18.1,120.7,Philippines,38562,38562
Naga,7.7887,122.6953,Philippines,38547,38547
Maddela,16.35,121.7,Philippines,38499,38499
Maayon,11.3833,122.7833,Philippines,38416,38416
Alimodian,10.8196,122.4322,Philippines,38408,38408
Talacogon,8.4488,125.7869,Philippines,38374,38374
Rizal,12.4667,120.9667,Philippines,38263,38263
Vallehermoso,10.3333,123.3167,Philippines,38259,38259
Balud,12.0369,123.1935,Philippines,38124,38124
Siniloan,14.4167,121.45,Philippines,38067,38067
Agoncillo,13.9334,120.9285,Philippines,38059,38059
Taysan,13.7833,121.2,Philippines,38007,38007
Las Navas,12.34,125.032,Philippines,37947,37947
Maimbung,5.9333,121.0333,Philippines,37914,37914
Badian,9.8694,123.3959,Philippines,37912,37912
Margosatubig,7.5783,123.1659,Philippines,37873,37873
Valladolid,10.4667,122.8333,Philippines,37833,37833
Malilipot,13.3167,123.7333,Philippines,37785,37785
Maragondon,14.2667,120.7333,Philippines,37720,37720
Kasibu,16.3167,121.2833,Philippines,37705,37705
Amadeo,14.1728,120.9277,Philippines,37649,37649
Pamplona,9.4667,123.1167,Philippines,37596,37596
Clarin,8.2,123.85,Philippines,37548,37548
Cabugao,17.8,120.45,Philippines,37501,37501
Santa Cruz,13.1167,120.85,Philippines,37484,37484
Aritao,16.2973,121.0338,Philippines,37225,37225
Baco,13.3584,121.0977,Philippines,37215,37215
San Juan,16.6667,120.3333,Philippines,37188,37188
Patnongon,10.9167,121.9833,Philippines,37176,37176
Poblacion,7.5,125.9333,Philippines,37065,37065
Mapandan,16.0167,120.45,Philippines,37059,37059
Maasin,10.8833,122.4333,Philippines,36922,36922
Rapu-Rapu,13.1833,124.1333,Philippines,36920,36920
Basilisa,10.0654,125.5968,Philippines,36880,36880
Mabuhay,7.4176,122.837,Philippines,36870,36870
San Andres,13.6,124.1,Philippines,36779,36779
San Nicolas,18.1725,120.5958,Philippines,36736,36736
Jamindan,11.4,122.5,Philippines,36677,36677
Buug,7.7333,123.0667,Philippines,36634,36634
Puerto Galera,13.5,120.9542,Philippines,36606,36606
Lilio,14.13,121.436,Philippines,36582,36582
Oras,12.1333,125.4333,Philippines,36540,36540
Bacong,9.2464,123.2948,Philippines,36527,36527
Manucan,8.5161,123.0917,Philippines,36526,36526
Nabas,11.8333,122.0833,Philippines,36435,36435
Madridejos,11.2667,123.7333,Philippines,36429,36429
Pamplona,13.6,123.0833,Philippines,36390,36390
Tambulig,8.0667,123.5333,Philippines,36160,36160
Lumba-a-Bayabao,7.8833,124.3833,Philippines,36151,36151
Jordan,10.6,122.6,Philippines,36096,36096
Batobato,6.8244,126.083,Philippines,36032,36032
Magsaysay,12.3333,121.15,Philippines,36016,36016
Alicia,7.506,122.9412,Philippines,36013,36013
Real,14.6667,121.6,Philippines,35979,35979
Mankayan,16.8667,120.7833,Philippines,35953,35953
Bangar,16.9,120.4167,Philippines,35947,35947
Enrile,17.55,121.7,Philippines,35834,35834
Luna,16.85,120.3833,Philippines,35802,35802
San Andres,13.3667,122.65,Philippines,35780,35780
Bantay,17.5833,120.3833,Philippines,35731,35731
Laur,15.5833,121.1833,Philippines,35656,35656
San Nicolas,16.07,120.7653,Philippines,35574,35574
Borbon,10.8333,124,Philippines,35526,35526
Dinas,7.6136,123.3389,Philippines,35504,35504
Bagabag,16.6044,121.2521,Philippines,35501,35501
Caluya,11.9333,121.55,Philippines,35496,35496
Tayasan,9.9167,123.15,Philippines,35470,35470
Tago,9.0211,126.2317,Philippines,35329,35329
Samal,14.7678,120.5431,Philippines,35298,35298
Buldon,7.5167,124.3667,Philippines,35282,35282
San Fernando,13.5667,123.15,Philippines,35258,35258
Dagami,11.0611,124.9031,Philippines,35147,35147
Sogod,10.75,124,Philippines,35108,35108
Aborlan,9.4386,118.5481,Philippines,35091,35091
Aurora,16.9918,121.6357,Philippines,35017,35017
Santo Domingo,13.235,123.7769,Philippines,34967,34967
Siayan,8.2519,123.1122,Philippines,34966,34966
Palauig,15.4333,120.05,Philippines,34947,34947
Valencia,9.2833,123.25,Philippines,34852,34852
Gasan,13.3167,121.85,Philippines,34828,34828
Pola,13.1439,121.44,Philippines,34701,34701
San Antonio,14.9486,120.0864,Philippines,34661,34661
Gutalac,7.9833,122.4,Philippines,34654,34654
Sibuco,7.2833,122.0667,Philippines,34620,34620
Magsaysay,9.0167,125.1833,Philippines,34605,34605
Sagnay,13.6,123.5167,Philippines,34546,34546
Gandara,12.013,124.8118,Philippines,34434,34434
Imbatug,8.3128,124.6873,Philippines,34336,34336
Pandan,11.7167,122.1,Philippines,34333,34333
Ballesteros,18.4,121.5167,Philippines,34299,34299
Palapag,12.547,125.116,Philippines,34286,34286
Dueñas,11.0667,122.6167,Philippines,34242,34242
Canaman,13.65,123.1667,Philippines,34210,34210
Tabango,11.3167,124.3667,Philippines,34195,34195
Sual,16.0667,120.1,Philippines,34149,34149
Mogpog,13.4833,121.8667,Philippines,34043,34043
Cabanglasan,8.0667,125.3167,Philippines,33997,33997
San Enrique,11.0697,122.6567,Philippines,33911,33911
Jagna,9.65,124.3667,Philippines,33892,33892
Guimbal,10.6667,122.3167,Philippines,33820,33820
Kadingilan,7.6,124.9167,Philippines,33778,33778
Olutanga,7.3106,122.8464,Philippines,33671,33671
San Marcelino,14.9742,120.1573,Philippines,33665,33665
Bugasong,11.05,122.0667,Philippines,33642,33642
Capoocan,11.2833,124.65,Philippines,33617,33617
Sulop,6.5986,125.3436,Philippines,33613,33613
Bayog,7.8474,123.0423,Philippines,33591,33591
Allacapan,18.227,121.5556,Philippines,33571,33571
Panglao,9.5833,123.75,Philippines,33553,33553
Languyan,5.2667,120.0833,Philippines,33494,33494
San Antonio,13.9,121.3,Philippines,33467,33467
Malangas,7.6263,123.034,Philippines,33380,33380
Sitangkai,4.6615,119.3919,Philippines,33334,33334
Columbio,6.7,124.9333,Philippines,33258,33258
San Luis,13.8333,120.9333,Philippines,33149,33149
Matalom,10.2833,124.8,Philippines,33121,33121
Balasan,11.4728,123.0878,Philippines,33088,33088
Pambujan,12.5667,124.9333,Philippines,33062,33062
Tobias Fornier,10.5167,121.95,Philippines,33046,33046
Santa Maria,15.9808,120.7003,Philippines,33038,33038
Catubig,12.4,125.05,Philippines,33025,33025
Marantao,7.95,124.233,Philippines,32974,32974
Munai,7.9758,124.0636,Philippines,32973,32973
Basista,15.8524,120.3976,Philippines,32959,32959
San Quintin,15.9844,120.815,Philippines,32945,32945
Medina,8.9167,125.0167,Philippines,32907,32907
Santa Ana,18.4667,122.15,Philippines,32906,32906
Casiguran,12.8667,124.0167,Philippines,32842,32842
Cuenca,13.9167,121.05,Philippines,32783,32783
Claveria,9.5667,125.7333,Philippines,32773,32773
Barugo,11.3167,124.7333,Philippines,32745,32745
Banate,11.05,122.7833,Philippines,32532,32532
Abulug,18.4441,121.4576,Philippines,32497,32497
Dao,11.3944,122.6858,Philippines,32496,32496
Leganes,10.7833,122.5833,Philippines,32480,32480
Diplahan,7.6939,122.9845,Philippines,32428,32428
Guindulman,9.762,124.488,Philippines,32408,32408
Initao,8.5,124.3167,Philippines,32370,32370
Bonifacio,8.0527,123.6136,Philippines,32345,32345
Juban,12.85,123.9833,Philippines,32320,32320
Bautista,15.7833,120.5,Philippines,32307,32307
Jalajala,14.3557,121.3233,Philippines,32254,32254
Mayantoc,15.6167,120.3833,Philippines,32232,32232
Vintar,18.225,120.65,Philippines,32220,32220
Bacarra,18.2519,120.6107,Philippines,32215,32215
Capalonga,14.3333,122.5,Philippines,32215,32215
Salug,8.1079,122.7542,Philippines,32204,32204
Lupi Viejo,13.8167,122.9,Philippines,32167,32167
Luuk,5.9676,121.3133,Philippines,32162,32162
San Luis,8.4964,125.7364,Philippines,32109,32109
Aloguinsan,10.2229,123.5491,Philippines,32100,32100
Midsalip,8.0324,123.3145,Philippines,32075,32075
Batan,11.5833,122.5,Philippines,32032,32032
Pinukpuk,17.6,121.3667,Philippines,32026,32026
Dumalinao,7.8167,123.3667,Philippines,32013,32013
Igbaras,10.7167,122.2667,Philippines,32004,32004
Trinidad,10.0795,124.3432,Philippines,31956,31956
San Remigio,10.8331,122.0875,Philippines,31935,31935
Numancia,11.7,122.3333,Philippines,31934,31934
Naguilian,17.0167,121.85,Philippines,31902,31902
San Manuel,17.0167,121.6333,Philippines,31896,31896
Balimbing,7.9,123.85,Philippines,31845,31845
Shariff Aguak,6.8647,124.4417,Philippines,31692,31692
Payao,7.5857,122.8022,Philippines,31686,31686
San Isidro,11.4167,124.35,Philippines,31641,31641
Badoc,17.9267,120.4754,Philippines,31616,31616
Kalingalan Caluang,5.8833,121.2667,Philippines,31567,31567
Mendez-Nuñez,14.1286,120.9058,Philippines,31529,31529
Laoac East,16.0333,120.55,Philippines,31497,31497
Cantilan,9.3336,125.9775,Philippines,31492,31492
Lingig,8.0381,126.4127,Philippines,31485,31485
Abra de Ilog,13.4448,120.726,Philippines,31306,31306
San Vicente,10.5333,119.2833,Philippines,31232,31232
Calubian,11.45,124.4167,Philippines,31228,31228
Simunul,4.898,119.8213,Philippines,31223,31223
Milaor,13.6,123.1833,Philippines,31150,31150
Moalboal,9.95,123.4,Philippines,31130,31130
Balungao,15.9,120.7,Philippines,31106,31106
Bauko,16.9833,120.8667,Philippines,31065,31065
Getafe,10.15,124.15,Philippines,30955,30955
Jimalalud,9.9797,123.1999,Philippines,30945,30945
Balatan,13.3167,123.2333,Philippines,30922,30922
Sapa Sapa,5.0899,120.2729,Philippines,30917,30917
Calape,9.8833,123.8833,Philippines,30863,30863
Lemery,11.2333,122.9333,Philippines,30851,30851
Santa Maria,14.475,121.425,Philippines,30830,30830
Magsingal,17.685,120.4244,Philippines,30792,30792
Lumbang,14.3,121.4667,Philippines,30652,30652
Simbahan,6.3,120.5833,Philippines,30613,30613
Cabarroguis,16.5833,121.5,Philippines,30582,30582
Polillo,14.7167,121.95,Philippines,30582,30582
San Roque,12.533,124.867,Philippines,30580,30580
Torrijos,13.3167,122.0833,Philippines,30524,30524
Catmon,10.6667,123.95,Philippines,30471,30471
Mallig,17.2,121.6167,Philippines,30459,30459
Sibagat,8.8219,125.6938,Philippines,30442,30442
Sibutu,4.85,119.4667,Philippines,30387,30387
San Jacinto,12.5667,123.7333,Philippines,30372,30372
Santa Maria,17.3667,120.4833,Philippines,30321,30321
Damulog,7.4833,124.9333,Philippines,30302,30302
Sergio Osmeña Sr,8.2988,123.5036,Philippines,30220,30220
Buguey,18.2882,121.8331,Philippines,30175,30175
Sigma,11.4214,122.6662,Philippines,30134,30134
Dimataling,7.5333,123.3667,Philippines,30081,30081
Caramoran,13.9833,124.1333,Philippines,30056,30056
Buenavista,13.7394,122.4675,Philippines,30047,30047
Talayan,6.9844,124.3564,Philippines,30032,30032
Barira,7.4833,124.3,Philippines,30004,30004
Hinunangan,10.4,125.2,Philippines,29976,29976
Talusan,7.4263,122.8084,Philippines,29969,29969
Pantabangan,15.8167,121.15,Philippines,29925,29925
Claveria,18.6,121.0833,Philippines,29921,29921
Gamu,17.05,121.8333,Philippines,29904,29904
Morong,14.68,120.2683,Philippines,29901,29901
Peñaranda,15.35,121,Philippines,29882,29882
Merida,10.9098,124.5376,Philippines,29863,29863
Calintaan,12.5756,120.9428,Philippines,29826,29826
Matanog,7.4667,124.25,Philippines,29770,29770
Dipaculao,15.9833,121.6333,Philippines,29736,29736
Alubijid,8.5714,124.4751,Philippines,29724,29724
General Nakar,14.7631,121.635,Philippines,29705,29705
President Roxas,11.43,122.93,Philippines,29676,29676
Benito Soliven,16.9833,121.95,Philippines,29624,29624
Lianga,8.633,126.0932,Philippines,29493,29493
Candijay,9.818,124.496,Philippines,29475,29475
Dumalag,11.3,122.6167,Philippines,29466,29466
Tandubas,5.134,120.3461,Philippines,29390,29390
Mataas Na Kahoy,13.9667,121.0833,Philippines,29187,29187
Balindong,7.9167,124.2,Philippines,29180,29180
Masiu,7.8167,124.3167,Philippines,29176,29176
Dasol,15.9896,119.8805,Philippines,29110,29110
Ivisan,11.5217,122.6908,Philippines,29055,29055
Pasuquin,18.3333,120.6167,Philippines,28980,28980
Tudela,8.2472,123.8424,Philippines,28932,28932
Balete,11.55,122.3833,Philippines,28920,28920
Bontoc,10.35,124.9667,Philippines,28905,28905
Dolores,14.0157,121.4011,Philippines,28891,28891
New Panamao,5.9667,121.2,Philippines,28817,28817
Siraway,7.5881,122.1424,Philippines,28799,28799
Lavezares,12.5333,124.3333,Philippines,28770,28770
Tubao,16.35,120.4167,Philippines,28729,28729
Salay,8.8667,124.8,Philippines,28705,28705
Anilao,10.9785,122.7531,Philippines,28684,28684
Santa Fe,11.15,123.8,Philippines,28603,28603
Kumalarang,7.75,123.15,Philippines,28469,28469
Manticao,8.4042,124.2867,Philippines,28422,28422
Las Nieves,8.7351,125.601,Philippines,28414,28414
Saint Bernard,10.2833,125.1333,Philippines,28395,28395
Datu Paglas,6.7669,124.85,Philippines,28387,28387
San Narciso,15.0167,120.0833,Philippines,28360,28360
Licab,15.5439,120.7634,Philippines,28254,28254
Libacao,11.4833,122.3,Philippines,28241,28241
Villareal,11.5667,124.9333,Philippines,28230,28230
La Paz,8.2801,125.8092,Philippines,28217,28217
Macalelon,13.75,122.1333,Philippines,28188,28188
Paracelis,17.2667,121.4667,Philippines,28121,28121
Agno,16.1161,119.8027,Philippines,28052,28052
Sexmoan,14.9333,120.6167,Philippines,28004,28004
Santo Domingo,17.6333,120.4083,Philippines,27975,27975
Oslob,9.55,123.4,Philippines,27893,27893
Caridad,14.4828,120.8958,Philippines,27891,27891
Pantao-Ragat,8.05,124.15,Philippines,27866,27866
Iguig,17.75,121.7333,Philippines,27862,27862
Mahaplag,10.5833,124.9833,Philippines,27823,27823
Babatngon,11.4207,124.8434,Philippines,27797,27797
Majayjay,14.1463,121.4729,Philippines,27792,27792
Aglipay,16.4889,121.5874,Philippines,27787,27787
Dauin,9.2,123.2667,Philippines,27786,27786
Pulupandan,10.5167,122.8,Philippines,27735,27735
San Miguel,10.7833,122.4667,Philippines,27686,27686
Sumilao,8.2872,124.9456,Philippines,27660,27660
Jimenez,8.3333,123.8333,Philippines,27654,27654
Aloran,8.4146,123.8228,Philippines,27625,27625
Zamboanguita,9.1167,123.2,Philippines,27552,27552
Dupax Del Norte,16.2864,121.0942,Philippines,27514,27514
San Jose,10.0083,125.5889,Philippines,27487,27487
Cuartero,11.35,122.6667,Philippines,27408,27408
Ponot,8.45,123.0333,Philippines,27388,27388
San Luis,15.7167,121.5167,Philippines,27352,27352
Lapuyan,7.6333,123.2,Philippines,27264,27264
Siquijor,9.1833,123.55,Philippines,26861,26861
Bontoc,17.0872,120.9756,Philippines,24643,24643
Padre Burgos,13.9226,121.8116,Philippines,22460,22460
Maribojoc,9.75,123.85,Philippines,20688,20688
Baclayon,9.6227,123.9135,Philippines,20591,20591
Lagawe,16.8167,121.1,Philippines,19333,19333
Tingloy,13.65,120.8667,Philippines,17919,17919
Anda,9.742,124.5737,Philippines,16462,16462
Alcantara,9.9715,123.4047,Philippines,15160,15160
Agdangan,13.8758,121.9122,Philippines,12851,12851
Perez,14.1833,121.9333,Philippines,12173,12173
Padre Burgos,10.0333,125.0167,Philippines,11091,11091
Basco,20.45,121.9667,Philippines,8579,8579
Corella,9.6833,123.9167,Philippines,8479,8479
Sikatuna,9.6833,123.9667,Philippines,6726,6726
Oroquieta,8.4859,123.8048,Philippines,,
Kabugao,18.0231,121.184,Philippines,,
Santa Cruz,14.1167,121.2833,Philippines,,
Koronadal,6.2541,124.9922,Philippines,,
San Jose,10.18,125.5683,Philippines,,
Tabuk,17.4084,121.2785,Philippines,,
Pili,13.7177,123.7448,Philippines,,
Madridejos,9.7912,123.3462,Philippines,,
